index,card_name,set_name,card_id,binder_name,page_number,slot_number,card_market_value
2-17-6,Pidgey,Base Set 2,base4-86,2,17,6,0.85
2-17-7,Rattata,Base Set 2,base4-89,2,17,7,0.5
2-17-8,Clefairy,Base Set 2,base4-6,2,17,8,11.42
2-17-9,Magikarp,Base Set 2,base4-50,2,17,9,1.07
2-18-1,Abra,Base Set 2,base4-65,2,18,1,0.46
2-18-2,Machop,Base Set 2,base4-78,2,18,2,0.45
2-18-3,Magnemite,Base Set 2,base4-79,2,18,3,0.42
2-18-4,Gastly,Base Set 2,base4-75,2,18,4,0.47
2-18-5,Vulpix,Base Set 2,base4-99,2,18,5,0.89
2-18-6,Seaking,Base Set 2,base4-60,2,18,6,0.92
2-18-7,Weedle,Base Set 2,base4-100,2,18,7,0.39
2-18-8,Caterpie,Base Set 2,base4-68,2,18,8,0.72
2-18-9,Poliwag,Base Set 2,base4-88,2,18,9,0.41
2-19-1,Poliwhirl,Base Set 2,base4-57,2,19,1,0.99
2-19-2,Ivysaur,Base Set 2,base4-44,2,19,2,3.52
2-19-3,Wartortle,Base Set 2,base4-63,2,19,3,1.88
2-19-4,Charmeleon,Base Set 2,base4-35,2,19,4,1.34
2-19-5,Kadabra,Base Set 2,base4-46,2,19,5,1.25
2-19-6,Machoke,Base Set 2,base4-49,2,19,6,0.7
2-19-7,Kakuna,Base Set 2,base4-47,2,19,7,0.77
2-19-8,Metapod,Base Set 2,base4-81,2,19,8,0.5
2-19-9,Dragonair,Base Set 2,base4-22,2,19,9,9.15
2-20-1,Dratini,Base Set 2,base4-38,2,20,1,0.88
2-20-2,Growlithe,Base Set 2,base4-42,2,20,2,1.29
2-20-3,Arcanine,Base Set 2,base4-33,2,20,3,1.82
2-20-4,Electrode,Base Set 2,base4-25,2,20,4,3.81
2-20-5,Electabuzz,Base Set 2,base4-24,2,20,5,3.23
2-20-6,Double Colorless Energy,Base Set 2,base4-124,2,20,6,2.07
2-20-7,Professor Oak,Base Set 2,base4-116,2,20,7,1.47
2-20-8,Bill,Base Set 2,base4-118,2,20,8,0.39
2-20-9,Energy Removal,Base Set 2,base4-119,2,20,9,0.34
1-1-1,Alakazam,Base,base1-1,1,1,1,49.98
1-1-2,Blastoise,Base,base1-2,1,1,2,160.51
1-1-3,Chansey,Base,base1-3,1,1,3,23.23
1-1-4,Charizard,Base,base1-4,1,1,4,459.35
1-1-5,Clefairy,Base,base1-5,1,1,5,24.87
1-1-6,Gyarados,Base,base1-6,1,1,6,33.33
1-1-7,Hitmonchan,Base,base1-7,1,1,7,19.22
1-1-8,Machamp,Base,base1-8,1,1,8,0.0
1-1-9,Magneton,Base,base1-9,1,1,9,15.39
1-2-1,Mewtwo,Base,base1-10,1,2,1,42.56
1-2-2,Nidoking,Base,base1-11,1,2,2,27.4
1-2-3,Ninetales,Base,base1-12,1,2,3,22.78
1-2-4,Poliwrath,Base,base1-13,1,2,4,18.8
1-2-5,Raichu,Base,base1-14,1,2,5,42.65
1-2-6,Venusaur,Base,base1-15,1,2,6,124.9
1-2-7,Zapdos,Base,base1-16,1,2,7,37.84
1-2-8,Beedrill,Base,base1-17,1,2,8,4.74
1-2-9,Dragonair,Base,base1-18,1,2,9,11.85
1-3-1,Dugtrio,Base,base1-19,1,3,1,6.88
1-3-2,Electabuzz,Base,base1-20,1,3,2,7.11
1-3-3,Electrode,Base,base1-21,1,3,3,6.36
1-3-4,Pidgeotto,Base,base1-22,1,3,4,9.39
1-3-5,Arcanine,Base,base1-23,1,3,5,3.72
1-3-6,Charmeleon,Base,base1-24,1,3,6,2.2
1-3-7,Dewgong,Base,base1-25,1,3,7,1.92
1-3-8,Dratini,Base,base1-26,1,3,8,1.94
1-3-9,Farfetch'd,Base,base1-27,1,3,9,1.08
1-4-1,Growlithe,Base,base1-28,1,4,1,1.11
1-4-2,Haunter,Base,base1-29,1,4,2,1.53
1-4-3,Ivysaur,Base,base1-30,1,4,3,3.03
1-4-4,Jynx,Base,base1-31,1,4,4,0.79
1-4-5,Kadabra,Base,base1-32,1,4,5,1.24
1-4-6,Kakuna,Base,base1-33,1,4,6,1.12
1-4-7,Machoke,Base,base1-34,1,4,7,0.67
1-4-8,Magikarp,Base,base1-35,1,4,8,2.18
1-4-9,Magmar,Base,base1-36,1,4,9,2.45
1-5-1,Nidorino,Base,base1-37,1,5,1,2.01
1-5-2,Poliwhirl,Base,base1-38,1,5,2,1.13
1-5-3,Porygon,Base,base1-39,1,5,3,3.91
1-5-4,Raticate,Base,base1-40,1,5,4,1.92
1-5-5,Seel,Base,base1-41,1,5,5,1.2
1-5-6,Wartortle,Base,base1-42,1,5,6,3.29
1-5-7,Abra,Base,base1-43,1,5,7,0.99
1-5-8,Bulbasaur,Base,base1-44,1,5,8,2.22
1-5-9,Caterpie,Base,base1-45,1,5,9,1.38
1-6-1,Charmander,Base,base1-46,1,6,1,1.72
1-6-2,Diglett,Base,base1-47,1,6,2,0.51
1-6-3,Doduo,Base,base1-48,1,6,3,0.85
1-6-4,Drowzee,Base,base1-49,1,6,4,0.58
1-6-5,Gastly,Base,base1-50,1,6,5,0.67
1-6-6,Koffing,Base,base1-51,1,6,6,0.47
1-6-7,Machop,Base,base1-52,1,6,7,0.44
1-6-8,Magnemite,Base,base1-53,1,6,8,0.47
1-6-9,Metapod,Base,base1-54,1,6,9,0.81
1-7-1,Nidoran ♂,Base,base1-55,1,7,1,0.65
1-7-2,Onix,Base,base1-56,1,7,2,0.66
1-7-3,Pidgey,Base,base1-57,1,7,3,0.97
1-7-4,Pikachu,Base,base1-58,1,7,4,4.51
1-7-5,Poliwag,Base,base1-59,1,7,5,0.51
